ScientificName_Ros&Mazimpaka;NID;Bio1_values1;Bio8_values1
Dicranum scoparium Hedw.;13419;-1.9375;-7.683333397
Dicranum scoparium Hedw.;13419;-1.9375;-7.683333397
Hypnum cupressiforme Hedw.;13481;0.75;-2.049999952
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;13419;2.25;-0.616666615
Dicranum scoparium Hedw.;13481;2.512500048;-0.349999934
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;13481;2.512500048;-0.349999934
Dicranum scoparium Hedw.;13420;2.645833254;-0.25000003
Dicranum scoparium Hedw.;13787;2.816666603;-0.03333335
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9657;2.900000095;-4.400000095
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9539;2.950000048;-4.283333302
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9539;2.950000048;-4.283333302
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9539;2.950000048;-4.283333302
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9539;2.950000048;-4.283333302
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9539;2.950000048;-4.283333302
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9539;2.950000048;-4.283333302
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9539;3.020833254;-4.233333111
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9656;3.079166651;-4.083333015
Dicranum scoparium Hedw.;9607;3.083333254;-2.383333206
Dicranum scoparium Hedw.;9607;3.083333254;-2.383333206
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9607;3.083333254;-2.383333206
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;9607;3.083333254;-2.383333206
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9656;3.424999952;-3.833333254
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9656;3.424999952;-3.833333254
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9656;3.620833397;-3.616666555
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9539;3.641666651;-3.5
Dicranum scoparium Hedw.;9606;3.674999952;-2
Dicranum scoparium Hedw.;9606;3.674999952;-2
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;9608;3.787499905;-1.399999976
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;9608;3.787499905;-1.399999976
Dicranum scoparium Hedw.;13543;3.833333254;0.933333337
Dicranum scoparium Hedw.;13847;3.866666555;1.033333421
Dicranum scoparium Hedw.;13847;3.866666555;1.033333421
Tortella squarrosa (Brid.) Limpr.;9606;3.987499952;-1.649999976
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9656;4.054166794;-3.050000191
Dicranum scoparium Hedw.;13787;4.145833492;1.26666677
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;9492;4.162499905;-1.066666603
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;9492;4.162499905;-1.066666603
Hypnum cupressiforme Hedw.;9492;4.162499905;-1.066666603
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;9492;4.162499905;-1.066666603
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;13358;4.320833206;1.450000048
Dicranum scoparium Hedw.;13358;4.320833206;1.450000048
Dicranum scoparium Hedw.;13050;4.408333302;1.566666722
Dicranum scoparium Hedw.;9492;4.487500191;-0.716666639
Dicranum scoparium Hedw.;9377;4.608333111;-0.550000012
Dicranum scoparium Hedw.;8244;4.695833206;-0.566666722
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;9540;4.800000191;-2.466666698
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9540;4.800000191;-2.466666698
Dicranum scoparium Hedw.;11832;4.824999809;5.733333111
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;11832;4.824999809;5.733333111
Dicranum scoparium Hedw.;11832;4.824999809;5.733333111
Hypnum cupressiforme Hedw.;11832;4.824999809;5.733333111
Dicranum scoparium Hedw.;11832;4.824999809;5.733333111
Dicranum scoparium Hedw.;11832;4.824999809;5.733333111
Dicranum scoparium Hedw.;11832;4.824999809;5.733333111
Dicranum scoparium Hedw.;11249;4.920833588;-0.683333397
Hypnum cupressiforme Hedw.;9608;5.120833397;-0.266666651
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;9608;5.120833397;-0.266666651
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;9540;5.183333397;-2.049999952
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;9540;5.183333397;-2.049999952
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;9540;5.183333397;-2.049999952
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9540;5.183333397;-2.049999952
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;8358;5.379166603;-0.349999964
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;9955;5.458333492;0.333333343
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;9540;5.537499905;-1.666666627
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;9540;5.537499905;-1.666666627
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;9656;5.537499905;-1.449999928
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;8358;5.550000191;0.083333403
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9540;5.766666412;-1.399999976
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9540;5.766666412;-1.399999976
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9540;5.766666412;-1.399999976
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9540;5.766666412;-1.399999976
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;9656;5.795833111;-1.183333397
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;9656;5.795833111;-1.183333397
Hypnum cupressiforme Hedw.;9723;5.804166794;0.366666704
Ptychostomum capillare (Hedw.) Holyoak & N. Pedersen;9723;5.804166794;0.366666704
Homalothecium aureum (Spruce) H.Rob. ;9723;5.804166794;0.366666704
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;9723;5.804166794;0.366666704
Dicranum scoparium Hedw.;9723;5.804166794;0.366666704
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;11249;5.904166698;0.166666672
Syntrichia ruralis (Hedw.) F.Weber & D.Mohr ;9490;5.904166698;0.383333385
